Codes,Site Name,Depot
80128,REHMAN NABEEL FILLING STATION,Gatti
80128,REHMAN NABEEL FILLING STATION,Machikey
80128,REHMAN NABEEL FILLING STATION,Mehmoodkot
80129,SIKANDER FILLING STATION,Shikarpur
80129,SIKANDER FILLING STATION,Dolatpur
80129,SIKANDER FILLING STATION,Mehmoodkot
80130,KARMAAL FILLING STATION,Chakpirana
80130,KARMAAL FILLING STATION,Machikey
80131,ALI PETROLEUM SERVICE,Shikarpur
80131,ALI PETROLEUM SERVICE,Dolatpur
80131,ALI PETROLEUM SERVICE,Mehmoodkot
80132,ASGHAR ALI FILLING STATION,Kemari
80132,ASGHAR ALI FILLING STATION,Refinery
80132,ASGHAR ALI FILLING STATION,Port Qasim
80133,HAMZA FILLING STATION,Kemari
80133,HAMZA FILLING STATION,Refinery
80133,HAMZA FILLING STATION,Port Qasim
80136,AL-FATEH PETROLEUM SERVICE,Gatti
80136,AL-FATEH PETROLEUM SERVICE,Machikey
80136,AL-FATEH PETROLEUM SERVICE,Mehmoodkot
80137,JALALANI FILLING STATION,Kemari
80137,JALALANI FILLING STATION,Refinery
80137,JALALANI FILLING STATION,Port Qasim
80138,SHAHBAZ FILLING STATION,Shikarpur
80138,SHAHBAZ FILLING STATION,Dolatpur
80138,SHAHBAZ FILLING STATION,Mehmoodkot
80139,NEW MAKKAH FILLING STATION,Shikarpur
80139,NEW MAKKAH FILLING STATION,Dolatpur
80139,NEW MAKKAH FILLING STATION,Mehmoodkot
80140,WAQAS FILLING STATION,Kemari
80140,WAQAS FILLING STATION,Refinery
80140,WAQAS FILLING STATION,Port Qasim
80141,MEHAR FILLING STATION,Shikarpur
80141,MEHAR FILLING STATION,Dolatpur
80141,MEHAR FILLING STATION,Mehmoodkot
80142,TOOBA INTERNATIONAL,Sihala
80143,FARHAN FILLING STATION,Shikarpur
80143,FARHAN FILLING STATION,Dolatpur
80143,FARHAN FILLING STATION,Mehmoodkot
80144,DURUSHKHELA FILLING STATION,Taru jabba
80145,BODLA BAHAR FILLING STATION,Gatti
80145,BODLA BAHAR FILLING STATION,Machikey
80145,BODLA BAHAR FILLING STATION,Mehmoodkot
80146,BISMILLAH PETROLEUM SERVICE,Sihala
80147,GALAXY FILLING STATION,Taru jabba
80148,ARBAB FILLING STATION,Taru jabba
80149,ADIL FILLING STATION,Machikey
80149,ADIL FILLING STATION,Chakpirana
80150,HAQ BROTHERS FILLING STATION,Shikarpur
80150,HAQ BROTHERS FILLING STATION,Dolatpur
80150,HAQ BROTHERS FILLING STATION,Mehmoodkot
80151,GUL KHAN FILLING STATION,Jaglot
80152,NOORDI FILLING STATION,Sihala
80153,BILAWAL FILLING STATION,Taru jabba
80154,ABBAS FILLING STATION,Taru jabba
80155,KHAN BADSHAH FILLING STATION,Taru jabba
80156,MUNEEB CNG,Gatti
80156,MUNEEB CNG,Machikey
80156,MUNEEB CNG,Mehmoodkot
80157,TALIB TRUCKING STATION,Shikarpur
80157,TALIB TRUCKING STATION,Dolatpur
80157,TALIB TRUCKING STATION,Mehmoodkot
80158,W.M. FILLING STATION,Taru jabba
80161,KHIZAR HAYAT (ALM) FILLING STATION,Kemari
80161,KHIZAR HAYAT (ALM) FILLING STATION,Refinery
80161,KHIZAR HAYAT (ALM) FILLING STATION,Port Qasim
80162,AL-MAKKAH TRUCKING STATION,Shikarpur
80162,AL-MAKKAH TRUCKING STATION,Dolatpur
80162,AL-MAKKAH TRUCKING STATION,Mehmoodkot
80163,NEW AL-MADINA FILLING STATION,Shikarpur
80163,NEW AL-MADINA FILLING STATION,Dolatpur
80163,NEW AL-MADINA FILLING STATION,Mehmoodkot
80166,PARIS-2 FILLING STATION,Shikarpur
80166,PARIS-2 FILLING STATION,Dolatpur
80166,PARIS-2 FILLING STATION,Mehmoodkot
80171,YOUNAS PETROLEUM,Chakpirana
80171,YOUNAS PETROLEUM,Machikey
80172,AIRPORT ADIL PETROLEUM SERVICES,Gatti
80172,AIRPORT ADIL PETROLEUM SERVICES,Machikey
80172,AIRPORT ADIL PETROLEUM SERVICES,Mehmoodkot
80176,MIR PETROLEUM SERVICE,Shikarpur
80176,MIR PETROLEUM SERVICE,Dolatpur
80176,MIR PETROLEUM SERVICE,Mehmoodkot
80177,RAZA BROTHERS PETROLEUM SERVICE,Shikarpur
80177,RAZA BROTHERS PETROLEUM SERVICE,Dolatpur
80177,RAZA BROTHERS PETROLEUM SERVICE,Mehmoodkot
80178,INTER CITY FUELS,Sihala
80179,AL-ASWED PETROLEUM SERVICES,Kemari
80179,AL-ASWED PETROLEUM SERVICES,Refinery
80179,AL-ASWED PETROLEUM SERVICES,Port Qasim
80180,FALAK FILLING STATION,Shikarpur
80180,FALAK FILLING STATION,Dolatpur
80180,FALAK FILLING STATION,Mehmoodkot
80181,ITTEHAD FILLING STATION,Sahiwal
80202,AL NOOR CNG FILLING STATION,Shikarpur
80202,AL NOOR CNG FILLING STATION,Dolatpur
80202,AL NOOR CNG FILLING STATION,Mehmoodkot
80203,ZAHID FILLING STATION,Chakpirana
80203,ZAHID FILLING STATION,Machikey
80206,AAHAD BROS FILLING STATION,Chakpirana
80206,AAHAD BROS FILLING STATION,Machikey
80208,FAIZAN FILLING STATION,Sihala
80209,GNR FILLING STATION,Taru jabba
80211,SAJID FILLING STATION GAMBAT,Shikarpur
80211,SAJID FILLING STATION GAMBAT,Dolatpur
80211,SAJID FILLING STATION GAMBAT,Mehmoodkot
80212,JAVED GUL FILLING STATION,Kemari
80212,JAVED GUL FILLING STATION,Refinery
80212,JAVED GUL FILLING STATION,Port Qasim
80213,SUNNY FILLING STATION,Kemari
80213,SUNNY FILLING STATION,Refinery
80213,SUNNY FILLING STATION,Port Qasim
80215,SUPER CITY GASWAYS PETROLEUM,Gatti
80215,SUPER CITY GASWAYS PETROLEUM,Machikey
80215,SUPER CITY GASWAYS PETROLEUM,Mehmoodkot
80216,TIRMIZI BROTHERS FILLING STATION,Gatti
80216,TIRMIZI BROTHERS FILLING STATION,Machikey
80216,TIRMIZI BROTHERS FILLING STATION,Mehmoodkot
80217,AHSAN PETROLEUM SERVICES,Mehmoodkot
80217,AHSAN PETROLEUM SERVICES,Parco
80218,WAGHA CNG STATION,Machikey
80218,WAGHA CNG STATION,Chakpirana
80219,KHURAM PETROLEUM SERVICES,Gatti
80219,KHURAM PETROLEUM SERVICES,Machikey
80219,KHURAM PETROLEUM SERVICES,Mehmoodkot
80220,AL MAQSOOD PETROLEUM SERVICES,Gatti
80220,AL MAQSOOD PETROLEUM SERVICES,Machikey
80220,AL MAQSOOD PETROLEUM SERVICES,Mehmoodkot
80221,ANMOL PETROLEUM SERVICES,Machikey
80221,ANMOL PETROLEUM SERVICES,Chakpirana
80222,NASIR KHAN PETROLEUM SERVICE,Gatti
80222,NASIR KHAN PETROLEUM SERVICE,Machikey
80222,NASIR KHAN PETROLEUM SERVICE,Mehmoodkot
80223,SHAH HABIB FILLING STATION,Kemari
80223,SHAH HABIB FILLING STATION,Refinery
80223,SHAH HABIB FILLING STATION,Port Qasim
80224,YA ALI FILLING STATION,Kemari
80224,YA ALI FILLING STATION,Refinery
80224,YA ALI FILLING STATION,Port Qasim
80225,AL-HAMD FILLING STATION,Kemari
80225,AL-HAMD FILLING STATION,Refinery
